date,open,high,low,close,volume,turnover rate,PE_TTM,PB_LF,number of advancing stocks,number of declining stocks,market capitalization
2010/6/23,2768.7,2788.22,2734.05,2758.5,416,0.31,15.93,2.38,66,222,170557.91
2010/6/24,2753.71,2783.51,2739.81,2757.5,337.73,0.26,15.91,2.39,113,172,170364.92
2010/6/25,2744.12,2759.45,2715.66,2736.29,346.49,0.27,15.84,2.38,40,239,169666.54
2010/6/28,2734.51,2751.46,2710.09,2716.78,311.98,0.24,15.78,2.37,61,217,168986.55
2010/6/29,2717.47,2724.23,2591.69,2592.02,506.36,0.43,15.15,2.28,4,283,162223.58
2010/6/30,2572.91,2575.82,2546.84,2563.07,358.1,0.31,14.99,2.25,66,216,160497.1
2010/7/1,2557.92,2574.1,2524.57,2526.07,324.78,0.28,14.96,2.24,46,237,162924.19
2010/7/2,2523.04,2542.12,2462.2,2534.11,433.67,0.39,15.05,2.25,166,124,163895.03
2010/7/5,2507.35,2529.43,2476.49,2512.65,309.22,0.28,14.96,2.24,77,205,162846.02
2010/7/6,2504.87,2563.41,2502.93,2562.9,389.77,0.34,15.24,2.28,285,5,165940
2010/7/7,2561.11,2580.61,2548.56,2580.48,370.6,0.31,15.3,2.29,221,56,166577.03
2010/7/8,2591.51,2602.23,2564.64,2575.92,353.49,0.29,15.23,2.3,100,183,165790.65
2010/7/9,2578.56,2662.16,2557.26,2647.1,614.7,0.51,15.57,2.35,286,4,169503.43
2010/7/12,2647.42,2689.81,2636.65,2676.22,634.62,0.51,15.69,2.36,244,35,170748.03
2010/7/13,2649.66,2649.66,2618.34,2634.59,451.25,0.37,15.43,2.32,50,240,168006.31
2010/7/14,2640.93,2684.62,2640.54,2653.61,494.97,0.4,15.53,2.34,235,50,169197.18
2010/7/15,2650.33,2680.44,2607.79,2608.52,414.45,0.35,15.27,2.3,23,263,166226.5
2010/7/16,2597,2621.33,2573.79,2616.13,354.22,0.3,15.27,2.3,179,95,166219.03
2010/7/19,2592.09,2691.94,2585.01,2682.47,598.26,0.46,15.61,2.33,289,4,169918.69
2010/7/20,2685.46,2746.24,2685.46,2741.5,809.58,0.63,15.91,2.37,287,2,173244.43
2010/7/21,2744.7,2766.21,2733.72,2747.34,737.35,0.6,15.93,2.38,147,133,173512.74
2010/7/22,2738.03,2783.14,2734.07,2781.29,635.77,0.52,16.1,2.4,269,14,175316.05
2010/7/23,2787.52,2806.98,2769.44,2793.08,704.23,0.55,16.17,2.41,136,142,176162.89
2010/7/26,2798.76,2811.95,2775.78,2811.06,598.49,0.46,16.25,2.42,214,59,177035.11
2010/7/27,2803.76,2812.21,2785.37,2795.72,559.64,0.43,16.16,2.41,69,208,176071.8
2010/7/28,2796.48,2866.4,2784.16,2863.72,845.17,0.68,16.52,2.47,287,0,180014.95
2010/7/29,2866.77,2888.6,2852,2877.98,922.78,0.81,16.45,2.44,182,95,189793.49
2010/7/30,2871.48,2876.14,2844.68,2868.85,652.24,0.53,16.37,2.43,89,188,188929.44
2010/8/2,2868.28,2922.61,2867.45,2917.28,735.69,0.61,16.59,2.46,286,3,191394.75
2010/8/3,2925.25,2929.61,2865.76,2865.97,868.71,0.69,16.3,2.41,23,266,188082.53
2010/8/4,2858.35,2876.6,2818.25,2876.43,756.7,0.6,16.33,2.42,163,105,188533.97
2010/8/5,2874.66,2877.31,2833.67,2850.83,730.38,0.57,16.16,2.39,81,204,186732.33
2010/8/6,2848.16,2898.53,2821.03,2897.66,821.45,0.63,16.37,2.43,275,11,189276.54
2010/8/9,2894.1,2922.62,2888.05,2918.24,834.32,0.63,16.42,2.43,207,64,189910.13
2010/8/10,2920.4,2925.3,2832.08,2832.64,842.84,0.66,15.96,2.37,7,280,184853.66
2010/8/11,2823.15,2864.36,2823.15,2850.21,587.86,0.46,16.01,2.37,204,70,185469.33
2010/8/12,2822.79,2860.37,2810.1,2816.39,658.26,0.51,15.78,2.35,64,223,183256.97
2010/8/13,2818.41,2856.04,2799.22,2855.55,629.24,0.49,15.94,2.37,274,13,185247.3
2010/8/16,2851.22,2927.69,2843.02,2922.08,914.28,0.68,16.27,2.42,286,2,189220.22
2010/8/17,2927.26,2949.73,2917.83,2942.29,867.01,0.65,16.3,2.43,189,85,189845.91
2010/8/18,2945.98,2962.75,2924.67,2937.36,808.32,0.6,16.22,2.42,100,187,189417.99
2010/8/19,2940.77,2975.19,2928.01,2955.4,917.35,0.65,16.28,2.44,157,120,191182.62
2010/8/20,2943.33,2951.96,2892.64,2898.33,822.98,0.6,16.01,2.4,22,267,188172.74
2010/8/23,2895.71,2920.54,2886.66,2896.19,577.73,0.41,15.88,2.39,108,165,187696.69
2010/8/24,2892.13,2933.12,2866.8,2911.83,650.37,0.51,15.89,2.39,227,55,188252.03
2010/8/25,2893.99,2904.66,2842.25,2843.02,670.48,0.54,15.51,2.34,21,267,184340.31
2010/8/26,2853.11,2868.88,2836.13,2850.09,518.63,0.41,15.4,2.34,179,94,184736.36
2010/8/27,2847.45,2861.07,2833.42,2858.57,466.99,0.34,15.19,2.32,159,116,185104.16
2010/8/30,2874.25,2921.09,2872.92,2915.01,773.42,0.55,15.17,2.35,285,3,187738.05
2010/8/31,2905.15,2910.06,2889.81,2903.19,799.76,0.55,15.02,2.33,97,188,186441.44
2010/9/1,2907.66,2931.76,2859.17,2884.04,879.32,0.65,14.95,2.32,72,212,185585.84
2010/9/2,2917.74,2931.55,2903.03,2921.39,889.23,0.59,15.11,2.34,254,26,187487.52
2010/9/3,2926.94,2929.55,2891.88,2920.21,877.25,0.61,15.08,2.34,106,180,187147.79
2010/9/6,2935.89,2980.42,2935.89,2975.09,1104.66,0.79,15.35,2.38,224,61,190499.24
2010/9/7,2979.3,2991.44,2959.9,2983.11,854.88,0.62,15.35,2.38,167,118,190540.93
2010/9/8,2970,2982.72,2953.84,2980.97,926.61,0.61,15.31,2.38,134,145,190057.33
2010/9/9,2986.87,2986.87,2922.2,2926.46,1032.48,0.68,15.09,2.34,45,244,187249.05
2010/9/10,2928,2940.79,2890.04,2932.55,837.43,0.55,15.09,2.34,116,164,187327.67
2010/9/13,2933.59,2977.08,2925.42,2962.32,875.36,0.56,15.21,2.36,240,38,188837.27
2010/9/14,2971.55,2984.47,2954.51,2965.01,872.04,0.59,15.2,2.36,109,175,188603.78
2010/9/15,2965.54,2965.54,2905.63,2913.19,864.46,0.6,14.99,2.33,44,244,186061.2
2010/9/16,2908.32,2917.85,2834.03,2857.79,841.98,0.62,14.72,2.3,50,239,182661.91
2010/9/17,2864.72,2877.08,2847.68,2861.37,624.66,0.44,14.71,2.29,111,167,182539.64
2010/9/20,2865.04,2872.22,2829.76,2849.83,575.83,0.42,14.67,2.29,75,196,182102.44
2010/9/21,2859.43,2869.38,2844.13,2857.48,447.42,0.3,14.71,2.29,164,117,182586.7
2010/9/27,2869.93,2905.53,2864.21,2905.03,626.12,0.41,14.88,2.32,264,15,184711.11
2010/9/28,2900.54,2900.54,2875.66,2880.91,808.6,0.49,14.78,2.3,78,210,183399.58
2010/9/29,2877.27,2908.73,2866.85,2874.81,745.16,0.47,14.8,2.31,112,169,183733.72
2010/9/30,2859.06,2935.6,2857.42,2935.57,807.1,0.52,15.06,2.35,273,19,186896.97
2010/10/8,2965.65,3055.84,2963.24,3044.23,1349.87,0.83,15.57,2.42,284,10,193219.33
2010/10/11,3069.19,3154.2,3069.19,3132.9,2126.07,1.31,16.02,2.49,240,53,198821.78
2010/10/12,3121.64,3173.85,3106.22,3172.73,1782.45,1.05,16.24,2.52,162,116,201585.47
2010/10/13,3176.89,3221.65,3165.58,3217.58,1954.45,1.19,16.39,2.54,185,104,203369.98
2010/10/14,3245.13,3286.02,3215.03,3224.14,2276.54,1.48,16.57,2.57,116,173,205779.32
2010/10/15,3204.72,3327.68,3199.12,3327.68,2456.19,1.58,17.2,2.67,241,48,213515.18
2010/10/18,3345.8,3390.02,3288.78,3306.16,2678.84,1.78,17.16,2.65,152,132,212941.22
2010/10/19,3300.52,3375.87,3280,3375.67,1654.89,1.07,17.42,2.68,231,57,216130.42
2010/10/20,3304.22,3439.23,3301.01,3396.88,2353.72,1.36,17.46,2.69,133,159,216487.59
2010/10/21,3404.72,3418.09,3344.96,3374.69,1753.84,1.01,17.32,2.66,131,155,214659.36
2010/10/22,3365.6,3408.49,3346.11,3378.66,1631.54,0.95,17.26,2.65,140,145,213861.31
2010/10/25,3386.85,3481.35,3366.43,3481.08,2088.09,1.19,17.69,2.72,276,14,219563.25
2010/10/26,3491.47,3499.82,3436.46,3466.08,2052.16,1.16,17.56,2.7,120,163,218238.68
2010/10/27,3451.43,3490.22,3398.1,3403.87,1770.73,1.01,17.25,2.65,57,226,214730.62
2010/10/28,3390.43,3420.89,3371.44,3397.69,1411.36,0.8,16.89,2.61,109,174,214419.46
2010/10/29,3400.26,3404.6,3351.6,3379.98,1455.28,0.82,16.4,2.56,133,153,212730.16
